Country,City,Area,Bedrooms,Bathrooms,Price
Saudi Arabia,Riyadh,138,4,4,459219.35
Saudi Arabia,Riyadh,274,4,2,810905.38
Saudi Arabia,Riyadh,185,1,2,797967.69
Saudi Arabia,Riyadh,272,4,2,2245339.91
Saudi Arabia,Riyadh,244,2,3,827890.53
Saudi Arabia,Riyadh,279,4,3,2534470.29
Saudi Arabia,Riyadh,116,1,2,1140348.96
Saudi Arabia,Riyadh,192,3,4,247439.19
Saudi Arabia,Riyadh,188,4,1,1990004.54
Saudi Arabia,Riyadh,202,1,4,2423479.8
Saudi Arabia,Riyadh,170,1,4,287188.29
Saudi Arabia,Riyadh,107,1,3,187226.3
Saudi Arabia,Riyadh,245,4,1,309838.93
Saudi Arabia,Riyadh,268,4,2,856219.22
Saudi Arabia,Riyadh,115,3,3,147534.54
Saudi Arabia,Riyadh,233,2,3,371617.86
Saudi Arabia,Riyadh,207,4,3,172392.78
Saudi Arabia,Riyadh,270,3,3,2676931.95
Saudi Arabia,Riyadh,161,3,1,237346.47
Saudi Arabia,Riyadh,171,2,3,644800.55
Saudi Arabia,Riyadh,218,1,4,658910.51
Saudi Arabia,Riyadh,257,2,1,417867.38
Saudi Arabia,Riyadh,234,4,1,840352.65
Saudi Arabia,Riyadh,110,3,3,942508.53
Saudi Arabia,Riyadh,93,3,3,282786.4
Saudi Arabia,Riyadh,272,1,2,367236.05
Saudi Arabia,Riyadh,235,4,2,223551.02
Saudi Arabia,Riyadh,156,1,1,1505892.33
Saudi Arabia,Riyadh,134,1,1,139313.79
Saudi Arabia,Riyadh,279,1,1,1272093.43
Saudi Arabia,Riyadh,249,4,2,2074730.34
Saudi Arabia,Riyadh,103,1,4,316128.05
Saudi Arabia,Riyadh,236,1,3,769080.63
Saudi Arabia,Riyadh,277,3,4,291719.6
Saudi Arabia,Riyadh,206,4,1,1693311.09
Saudi Arabia,Riyadh,170,1,4,348420.61
Saudi Arabia,Riyadh,123,4,1,394419.85
Saudi Arabia,Riyadh,284,3,3,420212.92
Saudi Arabia,Riyadh,191,3,3,1756884.9
Saudi Arabia,Riyadh,104,2,2,1205283.98
Saudi Arabia,Riyadh,239,2,4,2192105.16
Saudi Arabia,Riyadh,91,1,2,419954.33
Saudi Arabia,Riyadh,254,1,3,2402793.13
Saudi Arabia,Riyadh,281,1,4,873064.87
Saudi Arabia,Riyadh,236,1,3,250320.98
Saudi Arabia,Riyadh,129,4,1,440964.09
Saudi Arabia,Riyadh,270,2,1,690912.46
Saudi Arabia,Riyadh,240,2,2,2044629.95
Saudi Arabia,Riyadh,138,3,4,1328463.74
Saudi Arabia,Riyadh,248,1,4,282329.33
Saudi Arabia,Riyadh,100,1,1,154780.79
Saudi Arabia,Riyadh,222,2,2,2507741.96
Saudi Arabia,Riyadh,197,1,4,695613.48
Saudi Arabia,Riyadh,129,4,2,191285.88
Saudi Arabia,Riyadh,273,2,2,406202.48
Saudi Arabia,Riyadh,130,1,2,463751.11
Saudi Arabia,Riyadh,249,1,4,721769.52
Saudi Arabia,Riyadh,160,2,4,137376.52
Saudi Arabia,Riyadh,204,4,2,396892.07
Saudi Arabia,Riyadh,181,4,4,1352440.64
Saudi Arabia,Riyadh,183,3,2,1357283.38
Saudi Arabia,Riyadh,250,2,4,817336.09
Saudi Arabia,Riyadh,203,2,4,287697.25
Saudi Arabia,Riyadh,266,4,1,258241.92
Saudi Arabia,Riyadh,216,2,2,265590.96
Saudi Arabia,Riyadh,131,4,3,141748.96
Saudi Arabia,Riyadh,207,2,1,171347.19
Saudi Arabia,Riyadh,133,2,1,197963.32
